epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5408,0.84814,2.53472,1.23125,0.90859,0.31935,0.68759,0.53368,0.81812,2.54214,1.28019,0.000410354,0.000410354,0.000410354
2,24.167,0.9104,1.57719,1.25698,0.52301,0.66427,0.63412,0.44147,1.08701,2.42246,1.60323,0.000818833,0.000818833,0.000818833
3,35.7021,1.00639,1.47888,1.31431,0.54257,0.5546,0.54889,0.36205,1.19377,2.1797,1.60603,0.00121906,0.00121906,0.00121906
4,47.1395,1.00507,1.41175,1.30322,0.55027,0.5346,0.53561,0.3704,1.09724,1.88289,1.56015,0.00121287,0.00121287,0.00121287
5,58.5942,0.99377,1.30436,1.28917,0.60835,0.64175,0.66388,0.42205,1.29218,1.71651,1.81583,0.0012005,0.0012005,0.0012005
6,70.0564,0.96963,1.22489,1.29012,0.74125,0.63384,0.73214,0.502,1.04263,2.30149,1.42906,0.00118812,0.00118812,0.00118812
7,81.5345,0.94585,1.14654,1.2541,0.67359,0.51323,0.63017,0.42248,1.23824,2.02563,1.61681,0.00117575,0.00117575,0.00117575
8,146.843,0.92959,1.08609,1.26092,0.72694,0.65463,0.74479,0.54725,1.01893,1.65831,1.40532,0.00116337,0.00116337,0.00116337
9,158.436,0.89116,1.01402,1.22473,0.85115,0.73012,0.83503,0.61009,1.00715,1.24251,1.40219,0.001151,0.001151,0.001151
10,169.941,0.88125,0.99556,1.2218,0.76315,0.72867,0.81362,0.57065,0.98342,1.31503,1.37661,0.00113863,0.00113863,0.00113863
11,181.338,0.87158,0.95427,1.21587,0.85221,0.74741,0.8434,0.62304,1.02966,0.95246,1.43705,0.00112625,0.00112625,0.00112625
12,192.693,0.84665,0.92164,1.18458,0.85079,0.76828,0.84323,0.62744,1.0341,1.26782,1.47415,0.00111388,0.00111388,0.00111388
13,204.249,0.85224,0.90011,1.20127,0.81022,0.80771,0.88305,0.65803,0.91993,0.91311,1.30383,0.0011015,0.0011015,0.0011015
14,215.681,0.84458,0.87756,1.19609,0.82417,0.70452,0.82558,0.623,0.92813,1.17416,1.3232,0.00108913,0.00108913,0.00108913
15,227.128,0.82127,0.84552,1.17015,0.89345,0.82763,0.89981,0.68692,0.89087,0.96651,1.30685,0.00107675,0.00107675,0.00107675
16,238.63,0.8159,0.82281,1.18109,0.87514,0.76666,0.86688,0.67027,0.98472,1.30509,1.40782,0.00106437,0.00106437,0.00106437
17,250.262,0.81886,0.80325,1.18123,0.86042,0.71848,0.82197,0.62918,1.00386,1.24804,1.36601,0.001052,0.001052,0.001052
18,261.676,0.83343,0.83356,1.18238,0.86376,0.78579,0.89397,0.67986,0.98073,1.05728,1.388,0.00103962,0.00103962,0.00103962
19,273.166,0.80847,0.78702,1.17984,0.90275,0.79604,0.90155,0.70443,0.98287,0.84001,1.42738,0.00102725,0.00102725,0.00102725
20,284.76,0.78085,0.78277,1.15835,0.84578,0.77718,0.86603,0.67444,1.04715,1.18764,1.4965,0.00101488,0.00101488,0.00101488
21,296.3,0.7717,0.72897,1.14076,0.75845,0.83049,0.86202,0.67416,0.93485,0.9866,1.35129,0.0010025,0.0010025,0.0010025
22,307.732,0.78294,0.78384,1.15724,0.90456,0.77407,0.89388,0.70091,0.77311,0.71758,1.19074,0.000990125,0.000990125,0.000990125
23,319.124,0.7668,0.72406,1.14016,0.87348,0.84252,0.9001,0.69743,0.99323,0.81638,1.36491,0.00097775,0.00097775,0.00097775
24,330.594,0.75829,0.73289,1.13415,0.86974,0.87987,0.92297,0.73783,0.76365,0.66819,1.18456,0.000965375,0.000965375,0.000965375
25,342.111,0.74277,0.70635,1.1325,0.91308,0.8334,0.92669,0.71588,0.86262,0.62739,1.26525,0.000953,0.000953,0.000953
26,353.694,0.75485,0.69249,1.13827,0.93307,0.83173,0.92737,0.72668,1.02294,0.71453,1.46503,0.000940625,0.000940625,0.000940625
27,365.255,0.75377,0.7051,1.1346,0.86211,0.851,0.90636,0.71862,0.79584,0.69362,1.22842,0.00092825,0.00092825,0.00092825
28,376.692,0.72854,0.67113,1.11693,0.89088,0.82529,0.89967,0.71963,0.91597,0.68028,1.41407,0.000915875,0.000915875,0.000915875
29,388.318,0.73418,0.67108,1.11837,0.9425,0.86269,0.93769,0.75272,0.79057,0.59746,1.2135,0.0009035,0.0009035,0.0009035
30,399.827,0.70902,0.64534,1.10444,0.91004,0.86347,0.92131,0.74341,0.78643,0.66758,1.21393,0.000891125,0.000891125,0.000891125
31,411.326,0.7456,0.67348,1.13379,0.86565,0.78784,0.88945,0.7242,0.8401,0.97064,1.23243,0.00087875,0.00087875,0.00087875
32,422.755,0.70669,0.63502,1.11687,0.92139,0.81386,0.93109,0.73806,0.81669,0.58551,1.23835,0.000866375,0.000866375,0.000866375
33,434.246,0.70886,0.64671,1.10642,0.9084,0.83076,0.91506,0.73418,0.88287,0.64053,1.25726,0.000854,0.000854,0.000854
34,445.767,0.70591,0.61891,1.10093,0.84191,0.8057,0.89074,0.70995,0.91274,0.96719,1.25569,0.000841625,0.000841625,0.000841625
35,457.279,0.70006,0.61256,1.1018,0.93362,0.87789,0.93512,0.75811,0.72778,0.58792,1.15513,0.00082925,0.00082925,0.00082925
36,468.893,0.68553,0.61611,1.09378,0.9071,0.89071,0.9328,0.75363,0.9064,0.63182,1.36817,0.000816875,0.000816875,0.000816875
37,480.387,0.68006,0.60238,1.09005,0.88739,0.86533,0.91877,0.7429,0.92125,0.94691,1.36565,0.0008045,0.0008045,0.0008045
38,491.814,0.69313,0.60256,1.09867,0.88525,0.88923,0.93847,0.75949,0.88831,0.64988,1.31283,0.000792125,0.000792125,0.000792125
39,503.459,0.67102,0.60002,1.08596,0.92988,0.86094,0.92818,0.75007,0.93356,0.5888,1.4152,0.00077975,0.00077975,0.00077975
40,514.986,0.68292,0.60643,1.0942,0.89866,0.86196,0.91473,0.74786,0.91438,0.65638,1.33672,0.000767375,0.000767375,0.000767375
41,526.517,0.68895,0.5826,1.09138,0.92675,0.8704,0.94203,0.76568,0.78073,0.69947,1.23383,0.000755,0.000755,0.000755
42,538.073,0.6767,0.57103,1.07873,0.90048,0.86979,0.93323,0.75503,0.87276,0.73108,1.24024,0.000742625,0.000742625,0.000742625
43,549.555,0.66254,0.56685,1.07076,0.90084,0.90206,0.94588,0.7705,0.96256,0.61193,1.3255,0.00073025,0.00073025,0.00073025
44,561.152,0.64967,0.5524,1.07428,0.92841,0.86621,0.93725,0.76027,0.94172,0.52899,1.33071,0.000717875,0.000717875,0.000717875
45,572.752,0.6586,0.55814,1.07389,0.9156,0.84904,0.93198,0.76756,0.87874,0.58781,1.28868,0.0007055,0.0007055,0.0007055
46,584.256,0.65956,0.56064,1.06401,0.90108,0.86878,0.93641,0.75692,0.84222,0.58303,1.35454,0.000693125,0.000693125,0.000693125
47,595.879,0.6545,0.5824,1.07697,0.90424,0.8917,0.93808,0.7672,0.81746,1.08565,1.30371,0.00068075,0.00068075,0.00068075
48,607.537,0.65071,0.55923,1.0726,0.91157,0.90338,0.94285,0.78032,0.86171,0.52112,1.31105,0.000668375,0.000668375,0.000668375
49,619.127,0.64323,0.53987,1.0673,0.88059,0.8616,0.91464,0.74354,0.92942,0.69136,1.35223,0.000656,0.000656,0.000656
50,630.681,0.64726,0.5323,1.06486,0.92923,0.88154,0.94908,0.79327,0.7773,0.52009,1.29401,0.000643625,0.000643625,0.000643625
