epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9481,1.52618,8.23748,2.05306,0.0002,0.15588,0.00264,0.0005,1.04354,1.14157,2.19989,0.000410354,0.000410354,0.000410354
2,146.968,1.49709,0.59949,2.14625,8e-05,0.05769,0.00019,5e-05,1.4501,0.52311,2.93779,0.000818833,0.000818833,0.000818833
3,221.36,1.32346,0.68707,1.73635,nan,0.20801,0.00254,0.00078,nan,nan,nan,0.00121906,0.00121906,0.00121906
4,296.416,1.26682,0.70049,1.55509,0.75157,0.01535,0.00096,0.00022,nan,nan,nan,0.00121287,0.00121287,0.00121287
5,371.435,1.21057,0.72936,1.45087,0.75724,0.0307,0.00614,0.00134,nan,nan,nan,0.0012005,0.0012005,0.0012005
6,448.046,1.16742,0.76389,1.40213,0.75777,0.06798,0.00773,0.00203,0.85022,1.20339,1.27367,0.00118812,0.00118812,0.00118812
7,524.715,1.1496,0.76221,1.30982,0.51447,0.0976,0.00994,0.00227,0.87508,1.15352,1.33481,0.00117575,0.00117575,0.00117575
8,601.594,1.1012,0.78337,1.27674,0.03104,0.24292,0.02709,0.00598,0.89688,1.01408,1.35449,0.00116337,0.00116337,0.00116337
9,678.45,1.05205,0.8288,1.18068,0.03657,0.06326,0.01995,0.00416,0.83784,1.19309,1.25493,0.001151,0.001151,0.001151
10,754.011,1.10948,0.81317,1.23972,0.0289,0.10437,0.01338,0.00332,1.04109,0.89714,1.6303,0.00113863,0.00113863,0.00113863
11,829.793,1.10611,0.79582,1.26066,0.7881,0.07456,0.04158,0.00971,0.8487,1.24346,1.35625,0.00112625,0.00112625,0.00112625
12,906.674,1.06114,0.82027,1.14647,0.08794,0.20093,0.06455,0.01711,0.79397,1.12825,1.22165,0.00111388,0.00111388,0.00111388
13,983.302,0.9468,0.90722,0.96775,nan,0.43443,0.03807,0.01015,nan,nan,nan,0.0011015,0.0011015,0.0011015
14,1058.73,0.87,0.98832,0.85151,0.0547,0.25653,0.05377,0.01642,0.77397,1.08905,1.15207,0.00108913,0.00108913,0.00108913
15,1134.3,0.81398,1.03535,0.78523,0.08265,0.19886,0.06988,0.02226,0.59422,1.33266,0.81476,0.00107675,0.00107675,0.00107675
16,1210.91,0.76089,1.08896,0.73387,0.32239,0.17397,0.08013,0.02846,0.58881,1.38241,0.79062,0.00106437,0.00106437,0.00106437
17,1287.46,0.75426,1.11164,0.72712,nan,0.6674,0.07238,0.0303,nan,nan,nan,0.001052,0.001052,0.001052
18,1362.94,0.72935,1.13327,0.67865,nan,0.38673,0.04163,0.01597,nan,nan,nan,0.00103962,0.00103962,0.00103962
19,1438.38,0.70111,1.15247,0.66983,0.35961,0.2103,0.09259,0.03828,0.51164,1.44636,0.66408,0.00102725,0.00102725,0.00102725
20,1514.78,0.686,1.18788,0.65805,0.32645,0.29969,0.07978,0.03535,0.51217,1.46312,0.67822,0.00101488,0.00101488,0.00101488
21,1590.2,0.6794,1.17715,0.62062,0.10774,0.24398,0.07992,0.03731,0.55451,1.35448,0.79511,0.0010025,0.0010025,0.0010025
22,1665.58,0.65101,1.21699,0.61157,0.15864,0.22253,0.10092,0.04721,0.46883,1.46326,0.60817,0.000990125,0.000990125,0.000990125
23,1742.3,0.60213,1.2385,0.57649,nan,0.7777,0.11009,0.04601,nan,nan,nan,0.00097775,0.00097775,0.00097775
24,1817.8,0.59278,1.26752,0.54596,0.15185,0.31001,0.12127,0.05881,0.45564,1.50236,0.607,0.000965375,0.000965375,0.000965375
25,1894.77,0.56512,1.29991,0.52637,nan,0.79037,0.10883,0.04873,nan,nan,nan,0.000953,0.000953,0.000953
26,1970.37,0.56875,1.30965,0.51813,0.14985,0.2768,0.11732,0.06234,0.41155,1.56349,0.5205,0.000940625,0.000940625,0.000940625
27,2047.11,0.54732,1.31226,0.49993,0.16368,0.26156,0.13423,0.06922,0.42457,1.53084,0.50824,0.00092825,0.00092825,0.00092825
28,2123.83,0.54853,1.29224,0.49609,0.19085,0.26937,0.14566,0.07273,0.40057,1.53215,0.50971,0.000915875,0.000915875,0.000915875
29,2200.76,0.55708,1.27323,0.49996,nan,0.78432,0.11472,0.05664,nan,nan,nan,0.0009035,0.0009035,0.0009035
30,2276.37,0.52453,1.2959,0.4746,0.20682,0.27455,0.164,0.08724,0.39626,1.5229,0.5065,0.000891125,0.000891125,0.000891125
31,2353.03,0.518,1.325,0.46438,0.2082,0.31664,0.16319,0.08278,0.40124,1.57211,0.50737,0.00087875,0.00087875,0.00087875
32,2428.53,0.50227,1.32239,0.45813,0.20054,0.31493,0.16052,0.08773,0.40341,1.49439,0.48592,0.000866375,0.000866375,0.000866375
33,2505.29,0.49834,1.3203,0.44264,nan,0.79702,0.17314,0.08119,nan,nan,nan,0.000854,0.000854,0.000854
34,2581.04,0.50846,1.2903,0.44899,nan,0.83364,0.19417,0.10589,nan,nan,nan,0.000841625,0.000841625,0.000841625
35,2656.83,0.49162,1.30485,0.43937,nan,0.82505,0.19231,0.10401,nan,nan,nan,0.00082925,0.00082925,0.00082925
36,2732.67,0.48456,1.2941,0.4304,nan,0.80646,0.1839,0.10037,nan,nan,nan,0.000816875,0.000816875,0.000816875
37,2808.57,0.48359,1.29585,0.43392,nan,0.85356,0.23896,0.13712,nan,nan,nan,0.0008045,0.0008045,0.0008045
38,2884.12,0.47326,1.2895,0.41573,nan,0.83378,0.23385,0.13871,nan,nan,nan,0.000792125,0.000792125,0.000792125
39,2959.55,0.47434,1.26796,0.42893,nan,0.86515,0.25574,0.14305,nan,nan,nan,0.00077975,0.00077975,0.00077975
40,3034.81,0.45799,1.27371,0.42608,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000767375,0.000767375,0.000767375
41,3109.78,nan,nan,nan,nan,0.89814,0.29388,0.17165,nan,nan,nan,0.000755,0.000755,0.000755
